Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0, 0.027, 0.027, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0, 0.027, 0.027, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.027, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=27
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
RESHAPE, 0, 0.059, 0.16222, 0.144059%, 0.144059%, 0, 1, [Reshape]:0
CONV_2D, 0.16254, 14.758, 19.453, 17.2753%, 17.4193%, 0, 1, [Relu;BiasAdd;Conv2D;Variable_1]:1
MAX_POOL_2D, 19.6159, 6.58, 7.93798, 7.04932%, 24.4687%, 0, 1, [MaxPool]:2
CONV_2D, 27.5542, 83.893, 83.4615, 74.118%, 98.5866%, 0, 1, [Relu_1;BiasAdd_1;Conv2D_1;Variable_3]:3
MAX_POOL_2D, 111.016, 0.799, 0.82604, 0.733565%, 99.3202%, 0, 1, [MaxPool_1]:4
RESHAPE, 111.842, 0.153, 0.21248, 0.188693%, 99.5089%, 0, 1, [Reshape_1]:5
FULLY_CONNECTED, 112.055, 0.428, 0.46518, 0.413103%, 99.922%, 0, 1, [BiasAdd_2]:6
SOFTMAX, 112.52, 0.09, 0.08784, 0.0780063%, 100%, 0, 1, [Ys]:7

============================== Top by Computation Time ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 27.5542, 83.893, 83.4615, 74.118%, 74.118%, 0, 1, [Relu_1;BiasAdd_1;Conv2D_1;Variable_3]:3
CONV_2D, 0.16254, 14.758, 19.453, 17.2753%, 91.3932%, 0, 1, [Relu;BiasAdd;Conv2D;Variable_1]:1
MAX_POOL_2D, 19.6159, 6.58, 7.93798, 7.04932%, 98.4426%, 0, 1, [MaxPool]:2
MAX_POOL_2D, 111.016, 0.799, 0.82604, 0.733565%, 99.1761%, 0, 1, [MaxPool_1]:4
FULLY_CONNECTED, 112.055, 0.428, 0.46518, 0.413103%, 99.5892%, 0, 1, [BiasAdd_2]:6
RESHAPE, 111.842, 0.153, 0.21248, 0.188693%, 99.7779%, 0, 1, [Reshape_1]:5
RESHAPE, 0, 0.059, 0.16222, 0.144059%, 99.922%, 0, 1, [Reshape]:0
SOFTMAX, 112.52, 0.09, 0.08784, 0.0780063%, 100%, 0, 1, [Ys]:7

Number of nodes executed: 8
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
CONV_2D, 2, 102.914, 91.3954%, 91.3954%, 0, 2
MAX_POOL_2D, 2, 8.763, 7.78221%, 99.1776%, 0, 2
FULLY_CONNECTED, 1, 0.465, 0.412955%, 99.5906%, 0, 1
RESHAPE, 2, 0.374, 0.33214%, 99.9227%, 0, 2
SOFTMAX, 1, 0.087, 0.0772626%, 100%, 0, 1

Timings (microseconds): count=50 first=106760 curr=114332 min=106760 max=115497 avg=112606 std=2165
Memory (bytes): count=0
8 nodes observed


